mu sigma
3.0118885167470566 4.000242426046147
2.9169766992988166 3.9447867557323746
2.87354836929445 3.968892899521278
2.919931891612614 4.046314404947916
2.8919331658058196 4.036687665532987
2.9125018911046667 3.9458926211089644
2.9874744810603597 4.034306275970947
2.8853953806349035 4.03242967973687
2.8731765821877504 4.020932783331622
2.938392695525793 4.047629461869461
2.865631979619015 3.9837971467811437
2.971006191786498 4.042001629857539
2.922516069937388 4.046421150533075
2.9684705601740813 4.042851683209959
2.896480435475044 3.951966154627401
3.0084153985862976 4.010767514315844
2.954548180850382 3.944447404132312
2.9677352667453114 3.9476312630586325
2.93839081787028 3.943202164255828
2.9949933749950985 4.028102802349956
3.009205298820637 4.007984668243315
2.911191403951812 4.043793566978483
2.9956576720861694 3.963285219396197
2.9652137774753817 3.947119425175418
2.9885997271319042 3.9578570238494337
2.9159595012104678 4.044799922392453
2.982428542702113 4.036453500872968
2.9088010702144205 4.042898951060359
2.9331146963554406 3.9435329679338436
2.864659104902141 3.9925367871580173
3.0097282719657152 4.005184899959949
2.961102128651084 3.946170334713215
3.0076047705372306 3.9797443408710764
2.8854253190471466 3.9591511146182863
2.946443395666232 4.046655733867378
2.982424111437456 4.036327349224125
3.0091037375932665 3.9840297936085194
2.960469808945707 3.946144957967628
2.9066885256906865 3.948559015042078
3.0080182012454957 3.981323175601821
2.9144507025843245 4.044124859622512
2.9480821924576404 4.046311900711712
2.91581277505823 3.9461126831274287
2.991669304149816 3.960601180806062
3.0071795610087424 4.011044801992424
2.8858040698456677 3.959354957907872
2.954529953356659 4.045242320778345
3.0095062683731175 4.003424803162549
2.9771898634646785 4.038408458697137
2.9876974822159488 4.032556216526107
2.9570736035551977 3.9457995965758634
2.962588914191028 3.9470790022122793
2.906271176406929 3.9491760186511486
2.885105744843239 4.030417072274047
2.894486776641167 3.954320301899295
2.9876863843353405 3.9582607835361983
2.9906886699155666 3.960418455640045
2.869921715968413 3.9777087225186945
2.9826447409688783 4.035407942021349
2.9634266803955556 4.0430751948988854
2.944104816744859 4.046148120178147
2.8925124224997485 4.035091038399741
3.0009453529815096 4.020152604622672
2.9750511789203733 4.0390352613579745
3.006689187460194 3.980023772776571
2.9144590617035697 4.04354043276039
2.9314630506360198 4.046035115174093
2.9385831563793117 3.944282778429219
2.8911197502584782 3.956570720991272
2.8755962744001824 4.020738928179142
3.0085621025139915 4.003931906731179
3.0095242183755495 3.997465212747579
2.9216627241739146 4.044632675456624
2.990767213707148 4.029427858998066
2.907271667641523 3.949433448290649
3.00787305980943 4.005700015724416
2.936996344904946 4.045838908364283
2.9126994935589594 4.042442653037525
2.9840973873134873 4.03362147946946
2.959366194087414 4.0432699226066475
2.9847197109683576 4.033189071992932
3.0061506308783414 3.9811452194421237
2.9933820889187563 4.026641426334708
3.0035696573259534 3.976532895847832
2.8826641738893564 3.963768438939695
2.963748755383642 4.04185241223872
2.878069687508048 4.022144812372066
2.9250300587929843 4.044405742443631
2.903828757182985 3.951455149424399
2.8739951504487156 3.97389438422451
2.9982635702567126 4.020930522030079
2.9018931863276514 3.9523941313062574
2.9088649060109266 3.9498261049702252
2.97962678913445 3.955184344122501
3.0073129705839956 4.003280904040882
2.9891652674488265 3.961213810880383
3.00472235637654 3.9799300084529117
3.0055874965598046 4.008624490838902
2.9542012501816406 4.043556122925934
2.9159329192421475 4.042424947530217
2.947766469559201 3.946054375314694
2.883749970739367 4.026880142211692
2.892592328731634 3.9573441577724284
2.929098245228312 3.9460057033037588
2.9067481157387904 4.039668638620289
2.90979977144917 3.9498037186618253
3.000264172909706 4.017757829594027
2.9254172907705076 4.043973499584021
2.909601963714153 4.040525200335905
2.9590645926639447 3.948124415309551
3.0065017630725768 3.986273172359783
2.9195871877431574 3.9475485288137087
3.004269471239515 4.010438834128187
2.9089925649306787 3.9502674607191834
2.945103488430431 3.94613901778677
2.9897617573250024 3.962333367271232
3.0038997960355873 4.0110401050748665
2.879243329254754 3.968652177930018
2.9286178577415187 4.043965501716948
2.9904690788841517 3.9631810758707173
2.980662665470422 3.956548087312429
2.8686567720982215 3.99037594381452
2.8686091366050315 3.999348579970336
2.9409195090995026 3.9462355973263734
3.006344809479862 3.9882809260530583
2.991865114681625 3.9647083811524935
2.9820444267451247 3.957644974975685
2.877550686329445 3.9712836794359294
2.9992576151155093 3.9728800809168208
